ID,Barcode,Nombre,UsageType (Masculino/Femenino/Universal),TargetAnatomy (Prostata/Clitoris/Vaginal/Anal/Universal),StimulationType (Vibracion/Succion/Empuje/Calentamiento/Interactivo),MotorLogic (Single Channel/Dual Channel),DB_Id,RealTitle,Pics,CateId,Qrcode,SupportedFuncs,Wireless,FactoryId,IsEncrypt,IsPrecise,BroadcastPrefix,BleName
8172,8172,ZAZD005,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20230801/20230801163828567.jpg,2,https://image.zlmicro.com/images/product/qrcode/8172.png,classic|customer_game|explore|finger|game|intera|music|shake|video,2.4G,221,No,Estándar,77 62 4d 53 45,
8182,8182,186,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,186,https://image.zlmicro.com/images/product/20221208/20221208103433221.png,3,https://image.zlmicro.com/images/product/qrcode/8182.png,classic|explore|finger|game|intera|music|shake|video,2.4G,165,No,0-255,77 62 4d 53 45,
8185,8185,ZAHT071,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20240814/20240814094356486.png,4,https://image.zlmicro.com/images/product/qrcode/8185.png,classic|explore|finger|game|intera|music|shake|video,2.4G,221,No,Estándar,77 62 4d 53 45,
8187,8187,AAZD170,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20250509/20250509155057123.jpg,2,https://image.zlmicro.com/images/product/20250509/202505091551011238187.png,classic|finger|game|intera|music|shake|video|voice,2.4G,348,No,0-255,77 62 4d 53 45,
8188,8188,AASJ209,Universal,Anal,Vibración,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20241028/20241028150156909.jpg,10,https://image.zlmicro.com/images/product/qrcode/8188.png,classic|explore|finger|game|intera|music|shake|video|voice,2.4G,325,No,0-255,77 62 4d 53 45,
8190,8190,谦度TD001,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20260120/20260120140140963.jpg,3,https://image.zlmicro.com/images/product/20260120/202601201401479888190.png,classic|finger|game|intera|music|shake|video,2.4G,0,No,0-255,77 62 4d 53 45,
8191,8191,AAZD210,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20251202/20251202103449357.png,2,https://image.zlmicro.com/images/product/20251202/202512021034592058191.png,classic|finger|game|intera|music|shake|video,2.4G,274,No,0-255,77 62 4d 53 45,
8193,8193,BCTD003,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20230927/20230927094752875.png,3,https://image.zlmicro.com/images/product/qrcode/8193.png,classic|explore|finger|game|intera|music|shake|video,2.4G,243,No,0-255,77 62 4d 53 45,
8195,8195,Pequeño Cohete,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,小火箭,https://image.zlmicro.com/images/product/20220110/20220110155651817.png,3,https://image.zlmicro.com/images/product/qrcode/8195.png,classic|explore|finger|game|intera|music|shake|video|voice,2.4G,28,No,0-255,77 62 4d 53 45,
8201,8201,ZBTD021,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20230728/20230728104807954.png,3,https://image.zlmicro.com/images/product/qrcode/8201.png,classic|explore|finger|game|intera|music|shake|video,2.4G,48,No,0-255,77 62 4d 53 45,
8202,8202,NBQ-G209,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,NBQ-G209,https://image.zlmicro.com/images/product/20230407/20230407163028982.png,3,https://image.zlmicro.com/images/product/qrcode/8202.png,classic|explore|finger|game|intera|music|shake|video,2.4G,93,No,0-255,77 62 4d 53 45,
8203,8203,AATD224,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20230307/20230307160712575.png,3,https://image.zlmicro.com/images/product/qrcode/8203.png,classic|explore|finger|game|intera|music|shake|video,2.4G,145,No,0-255,77 62 4d 53 45,
8205,8205,YEHT017,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20240119/20240119113714082.png,4,https://image.zlmicro.com/images/product/qrcode/8205.png,classic|explore|finger|game|intera|music|shake|video,2.4G,14,No,0-255,77 62 4d 53 45,
8208,8208,LBTYHT001,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20260128/20260128144059083.jpg,4,https://image.zlmicro.com/images/product/20260128/202601281441055228208.png,classic|finger|game|intera|music|shake|video,2.4G,107,No,0-255,77 62 4d 53 45,
8211,8211,ZBZD006,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20240322/20240322142850294.png,2,https://image.zlmicro.com/images/product/qrcode/8211.png,classic|explore|finger|game|intera|music|shake|video,2.4G,48,No,0-255,77 62 4d 53 45,
8214,8214,YEGS005,Universal,Anal,Vibración,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20231114/20231114094735414.jpg,13,https://image.zlmicro.com/images/product/qrcode/8214.png,classic|explore|finger|game|intera|music|shake|video,2.4G,14,No,0-255,77 62 4d 53 45,
8215,8215,20宫格测试,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,20宫格测试,,0,https://image.zlmicro.com/images/product/qrcode/8215.png,classic|explore|finger|game|intera|music|shake|video,2.4G,192,No,Estándar,77 62 4d 53 45,
8218,8218,G204,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,G204,https://image.zlmicro.com/images/product/20220414/20220414100912546.png,3,https://image.zlmicro.com/images/product/qrcode/8218.png,classic|explore|finger|game|intera|music|shake|video|voice,2.4G,93,No,0-255,77 62 4d 53 45,
8219,8219,YJ-013,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,YJ-013,https://image.zlmicro.com/images/product/20230609/20230609135709864.png,4,https://image.zlmicro.com/images/product/qrcode/8219.png,classic|explore|finger|game|intera|music|shake|video,2.4G,157,No,Estándar,77 62 4d 53 45,
8221,8221,AATD608,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20240725/20240725145840412.jpg,3,https://image.zlmicro.com/images/product/qrcode/8221.png,classic|explore|finger|game|intera|music|shake|video,2.4G,303,No,0-255,77 62 4d 53 45,
8223,8223,AAGS123,Universal,Anal,Vibración,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20240527/20240527155150046.png,13,https://image.zlmicro.com/images/product/qrcode/8223.png,classic|explore|finger|game|intera|music|shake|video,2.4G,104,No,0-255,77 62 4d 53 45,
8225,8225,YAI707S-004,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,YAI707S-004,https://image.zlmicro.com/images/product/20230308/20230308151902295.png,4,https://image.zlmicro.com/images/product/qrcode/8225.png,classic|explore|finger|game|intera|music|shake|video,2.4G,14,No,Estándar,77 62 4d 53 45,
8231,8231,Mariposa Soñada,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,梦蝶,https://image.zlmicro.com/images/product/20250925/20250925171434779.jpg,3,https://image.zlmicro.com/images/product/20250925/202509251714392438231.png,classic|finger|game|intera|music|shake|video,2.4G,303,No,0-255,77 62 4d 53 45,
8239,8239,AAYJ081,Femenino,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20260109/20260109112203894.jpg,8,https://image.zlmicro.com/images/product/20260109/202601091122081628239.png,classic|finger|game|heating|intera|music|shake|video,2.4G,402,No,0-255,77 62 4d 53 45,
8240,8240,BCTD005,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20240111/20240111170140523.png,3,https://image.zlmicro.com/images/product/qrcode/8240.png,classic|explore|finger|game|intera|music|shake|video,2.4G,19,No,0-255,77 62 4d 53 45,
8241,8241,EW900,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,EW900,https://image.zlmicro.com/images/product/20230828/20230828115210211.png,3,https://image.zlmicro.com/images/product/qrcode/8241.png,classic|explore|finger|game|intera|music|shake|video,2.4G,143,No,0-255,77 62 4d 53 45,
8244,8244,ZASJ039,Universal,Anal,Vibración,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20240801/20240801092957141.png,10,https://image.zlmicro.com/images/product/qrcode/8244.png,classic|explore|finger|game|intera|music|shake|video,2.4G,20,No,0-255,77 62 4d 53 45,
8245,8245,YJ-012,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,YJ-012,https://image.zlmicro.com/images/product/20230609/20230609134644244.png,8,https://image.zlmicro.com/images/product/qrcode/8245.png,classic|explore|finger|game|intera|music|shake|video,2.4G,157,No,0-255,77 62 4d 53 45,
8247,8247,AATD003,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20260106/20260106153459668.png,3,https://image.zlmicro.com/images/product/20260106/202601061535032448247.png,classic|finger|game|intera|music|shake|video,2.4G,132,No,0-255,77 62 4d 53 45,
